FIPS;Counts
18001;21
18003;274
18005;63
18007;6
18009;8
18011;37
18013;14
18015;32
18017;28
18019;96
18021;25
18023;38
18025;8
18027;53
18029;31
18031;19
18033;55
18035;47
18037;46
18039;163
18041;13
18043;110
18045;11
18047;10
18049;23
18051;33
18053;56
18055;37
18057;114
18059;31
18061;55
18063;133
18065;43
18067;74
18069;38
18071;31
18073;22
18075;18
18077;15
18079;15
18081;23
18083;47
18085;46
18087;25
18089;321
18091;34
18093;51
18095;108
18097;394
18099;44
18101;13
18103;18
18105;121
18107;27
18109;32
18111;6
18113;32
18115;4
18117;21
18119;22
18121;3
18123;11
18125;11
18127;118
18129;18
18131;17
18133;18
18135;13
18137;28
18139;6
18141;127
18143;20
18145;11
18147;14
18149;20
18151;31
18153;21
18155;16
18157;145
18159;13
18161;2
18163;183
18165;6
18167;116
18169;15
18171;6
18173;50
18175;35
18177;14
18179;21
18181;33
18183;19
