FIPS;Counts
18001;21
18003;135
18005;29
18007;4
18009;6
18011;21
18013;9
18015;9
18017;9
18019;55
18021;7
18023;23
18025;4
18027;12
18029;10
18031;9
18033;24
18035;24
18037;14
18039;81
18041;13
18043;31
18045;8
18047;6
18049;6
18051;9
18053;26
18055;18
18057;63
18059;24
18061;30
18063;70
18065;23
18067;34
18069;22
18071;10
18073;9
18075;18
18077;10
18079;10
18081;20
18083;13
18085;22
18087;13
18089;162
18091;24
18093;28
18095;55
18097;242
18099;23
18101;6
18103;10
18105;55
18107;15
18109;17
18111;6
18113;17
18115;1
18117;12
18119;8
18121;2
18123;6
18125;9
18127;49
18129;13
18131;8
18133;15
18135;13
18137;12
18139;6
18141;72
18143;11
18145;8
18147;8
18149;12
18151;12
18153;14
18155;7
18157;48
18159;13
18161;2
18163;72
18165;4
18167;60
18169;7
18171;3
18173;24
18175;9
18177;7
18179;14
18181;15
18183;11
